Titre,image,mbsrp_card_photo_figcount,mbsrp_card_photo_figpost,nom,mbsrp_card_adssince,mbsrp_card_adsserved,nom_lien,nom1,motclé,motclé2,motclé3,motclé4,motclé5,motclé6,motclé7,motclé8,motclé9,motclé10,motclé11,champ,prix,prix12,mbsrp_actionbtn,mbsrp_actionbtn13
 Studio Apartment for Rent in Dwarka New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","13
+
Photos",Updated 1 week ago ,Owner: Rajesh Kumar Tiwari,,,,,"FURNISHING
Semi-Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
720 sqft","FLOOR
4 out of 4","FACING
East","OVERLOOKING
Garden/Park, Main Road","BATHROOM
1","BALCONY
1",,Adjoining jogging DDA park with dedicated Gate  Open Gym Gated society CCTV Car Parking The monthly maintenance is Rs 400/-.,"₹
10,500",See other charges,Contact Owner ,Make Offer 
4 BHK Builder Floor for Rent in South Extension 2 New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","13
+
Photos",Posted:   Yesterday,Agent: Shiva Properties,Operating Since: 2010,2000+ Buyers Served,,,"FURNISHING
Semi-Furnished","BATHROOM
4","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
2700 sqft","FLOOR
Ground out of 4","FACING
North","OVERLOOKING
Pool, Garden/Park, Main Road","BATHROOM
4","BALCONY
3",,"upper ground floor 4bed room attached bathroom drawing dining room kitchen balcony sarvent quarter stilt car parking owner free property, brand new The monthly maintenance is Rs 5000/-.","₹
1.7 Lac",Security Deposit,Contact Agent ,Get Phone No. 
1 BHK Apartment for Rent in Vikaspuri New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","8
+
Photos",Posted:   Today,Agent: Sukhmani Properties,Operating Since: 1990,6000+ Buyers Served,,,"FURNISHING
Unfurnished","BATHROOM
1","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
500 sqft","FLOOR
3 out of 4","FACING
East","OVERLOOKING
Garden/Park, Main Road","BATHROOM
1","BALCONY
1",,"1bhk flat for rent in vikas puri near janak puri West metro station. Very Exclusive, 1 bedroom one drawing dinning room,1 washroom, marble flooring, Wardrobe, Wooden Work In kitchen, fans, tubelight, Ample parking space, proper fully cross ventilation, The Gate is made Up of Iron And Wooden, The Property is Well connected to Metro station,  schools, Pvr, Mall, Main Markets, Bus Stop, Gym, Banks  Atm, Mandir, Gurdwara Etc to be half kilometer away from it ,THIS IS A GOLDEN OPPORTUNITY TO GET SUCH A MATCHLESS PROPERTY . MORE OPTIONS ARE ALSO AVAILABLE IN SAME BUDGET . The monthly maintenance is Rs 200/-.","₹
13,000",Security Deposit,Contact Agent ,Get Phone No. 
"2 BHK Apartment for Rent in Ahinsa Apartment, Sector 9 Rohini New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","29
+
Photos",Updated 1 week ago ,Owner: Rajesh Kumar Jain,,,https://www.magicbricks.com/ahinsa-apartment-rohini-sector-9-new-delhi-pdpid-4d4235303130363239,Ahinsa Apartment,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
1000 sqft","FLOOR
3 out of 4","SOCIETY
Ahinsa Apartment","BATHROOM
2",,,,,"₹
29,000",See other charges,Contact Owner ,Make Offer 
3 BHK Builder Floor for Rent in Block E Greater Kailash 2 New Delhi,,,"Posted:   Jan 09, '25 ",Agent: Dezire Properties,Operating Since: 1999,14000+ Buyers Served,,,"FURNISHING
Semi-Furnished","BATHROOM
3","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
1900 sqft","FLOOR
Ground out of 3","FACING
East","OVERLOOKING
Garden/Park","BATHROOM
3","BALCONY
3",,park facing specious 3bhk in gated society. 2 side open cross ventilation. The monthly maintenance is Rs 5000/-.,"₹
85,000",Security Deposit,Contact Agent ,Get Phone No. 
"5 BHK Builder Floor for Rent in Sadhna Enclave, Panchsheel Park New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","10
+
Photos","Posted:   Dec 09, '24 ",Agent: The IND Realty,Operating Since: 2001,100+ Buyers Served,,,"FURNISHING
Semi-Furnished","BATHROOM
5","TENANT PREFERRED
Family","AVAILABILITY
Immediately","SUPER AREA
9000 sqft","FLOOR
2 out of 3","FACING
South - East","OVERLOOKING
Garden/Park","BATHROOM
5","BALCONY
2",,"In sadhna enclave, 2nd Floor,   1100 sqyd,  5BHk, South East Facing, Exclusive lift  entry , lavish furnished just like brand new, small terrace, very peaceful  prime location, ample parking, close to park, vastu perfect  Demand  7.25 lac","₹
7.3 Lac",Security Deposit,Contact Agent ,Get Phone No. 
"2 BHK Builder Floor for Rent in Tagore Garden, Rajouri Garden, Najafgarh Road New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","11
+
Photos",Posted:   Yesterday,Agent: Jagdamba Properties,Operating Since: 2009,5000+ Buyers Served,,,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
850 sqft","FLOOR
1 out of 4","FACING
East","OVERLOOKING
Main Road, Garden/Park","BATHROOM
2","BALCONY
1",,"2BHK builder floor available in top location of Tagore Garden near Metro Station AC fitting in all two bedroom, Gas chimney geyser also fitted","₹
35,000",See other charges,Contact Agent ,Get Phone No. 
"2 BHK Apartment for Rent in Ganga Duplex, D6 Sector D Vasant Kunj New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","11
+
Photos",Posted:   Yesterday,Agent: Naveen Rana,,,https://www.magicbricks.com/ganga-duplex-vasant-kunj-new-delhi-pdpid-4d4235313732383237,Ganga Duplex,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
1200 sqft","FLOOR
1 out of 8","OVERLOOKING
Garden/Park","SOCIETY
Ganga Duplex","BATHROOM
2","BALCONY
3",,,"₹
50,000",See other charges,Contact Agent ,Get Phone No. 
2 BHK Apartment for Rent in D-6 Vasant Kunj New Delhi,,,Posted:   Today,Agent: Kunj Realtors,Operating Since: 1990,3500+ Buyers Served,,,"FURNISHING
Unfurnished","BATHROOM
2","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
1100 sqft","FLOOR
4 out of 7","FACING
North - West","OVERLOOKING
Garden/Park, Main Road","BATHROOM
2","BALCONY
3",,Available for rent 2BHK flat in vasant kunj gated society The monthly maintenance is Rs 900/-.,"₹
45,000",Security Deposit,Contact Agent ,Get Phone No. 
"3 BHK Builder Floor for Rent in Jangpura Extension, Jangpura New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","7
+
Photos",Posted:   Yesterday,Agent: Dhunni Lal,,,,,"FURNISHING
Furnished","BATHROOM
3","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
200 sqyrd","FLOOR
Ground out of 4","FACING
North - East","OVERLOOKING
Garden/Park","OWNERSHIP
Freehold","BATHROOM
3",,its available independent builder floor apartment in jangpura extension ground floor 3bedroom with attach bathroom drawing and dining kitchen big balcony lift Sarvent room car parking wide road fulli furnished 200y rent asking 1.40lakh,"₹
1.4 Lac",Security Deposit,Contact Agent ,Get Phone No. 
3 BHK Builder Floor for Rent in Kalkaji New Delhi,,,Posted:   Today,Agent: A1 Property,Operating Since: 2010,,,,"FURNISHING
Unfurnished","BATHROOM
3","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
225 sqyrd","FLOOR
1 out of 3","FACING
South - East","OVERLOOKING
Main Road","BATHROOM
3","BALCONY
1",,3bhk fully furnished very nice Property separate no water issue separate electricity government meetar very good location,"₹
82,000",Security Deposit,Contact Agent ,Get Phone No. 
"2 BHK Apartment for Rent in Link Apartment, Indraprastha New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","10
+
Photos","Posted:   Nov 21, '24 ",Agent: Sonali Associates,Operating Since: 2000,,https://www.magicbricks.com/link-apartment-indraprastha-new-delhi-pdpid-4d4235303838393931,Link Apartment,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
900 sqft","FLOOR
4 out of 7","FACING
East","OVERLOOKING
Garden/Park","SOCIETY
Link Apartment","BATHROOM
2","BALCONY
2",Multistorey apartment is available for rent. It is a good location property. Please contact for more details. The monthly maintenance is Rs 5000/-.,"₹
26,000",Security Deposit,Contact Agent ,Get Phone No. 
4 BHK Builder Floor for Rent in Greater Kailash 1 New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","14
+
Photos","Posted:   Dec 22, '24 ",Agent: Max Realtors,Operating Since: 2005,,,,"FURNISHING
Semi-Furnished","BATHROOM
4","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
2750 sqft","FLOOR
3 out of 4","FACING
South","OWNERSHIP
Freehold","BATHROOM
4","BALCONY
2",,"Brand new luxurious 4bhk, 313sqyd builder floor for rent with lift and stilled, servant quarter,and all modern amenities, more details please call. The monthly maintenance is Rs 7000/-.","₹
3 Lac",Security Deposit,Contact Agent ,Get Phone No. 
"2 BHK Builder Floor for Rent in Prashant Vihar, Rohini New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","11
+
Photos","Posted:   Jan 07, '25 ",Agent: K C Aggarwal Properties &Amp; Architects,Operating Since: 1988,500+ Buyers Served,,,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
800 sqft","FLOOR
2 out of 4","FACING
North - East","OVERLOOKING
Garden/Park, Main Road","BATHROOM
2","BALCONY
1",,2 BHK B Block prasant vihar  ground floor  2 bedroom 2 bathroom store  1 balcony,"₹
21,000",Security Deposit,Contact Agent ,Get Phone No. 
"3 BHK Apartment for Rent in DDA Hill View Apartment, Vasant Vihar New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","12
+
Photos","Posted:   Jan 08, '25 ",Agent: Shiv Associates,Operating Since: 2016,11000+ Buyers Served,https://www.magicbricks.com/dda-hill-view-apartment-vasant-vihar-new-delhi-pdpid-4d4235303839393235,DDA Hill View Apartment,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
1600 sqft","FLOOR
2 out of 3","FACING
North - East","OVERLOOKING
Garden/Park, Main Road","SOCIETY
DDA Hill View Apartment","OWNERSHIP
Freehold","BATHROOM
2",this is a 3bhk flat for Rent Hill view apartment vasant vihar. This property is 2 and 3 duplex. It has natural light and ventilation this property. The monthly maintenance is Rs 1000/-.,"₹
72,000",Security Deposit,Contact Agent ,Get Phone No. 
"1 BHK Apartment for Rent in DDA Arunodaya Apartment, Sector 7 Dwarka New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","11
+
Photos","Posted:   Jan 05, '25 ",Agent: Gayatri Associates,Operating Since: 2000,4500+ Buyers Served,https://www.magicbricks.com/dda-arunodaya-apartment-dwarka-sector-7-new-delhi-pdpid-4d4235303332393039,DDA Arunodaya Apartment,"FURNISHING
Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
420 sqft","FLOOR
1 out of 3","FACING
North - East","OVERLOOKING
Main Road","SOCIETY
DDA Arunodaya Apartment","BATHROOM
1","BALCONY
1",450 sqft flat one bedroom drawing dining with balcony and one washroom fully furnished flat available in gated dda pkt first floor excellent wooden work bedroom and kitchen one double bed ac tv freeze washing machine good well maintain one car parking 24hr security guards park and market near The monthly maintenance is Rs 300/-.,"₹
20,000",Security Deposit,Contact Agent ,Get Phone No. 
"4 BHK Builder Floor for Rent in Vasant Vihar Builder Floor, Vasant Vihar New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","16
+
Photos","Posted:   Jan 06, '25 ",Agent: Green Castle,Operating Since: 2010,100+ Buyers Served,https://www.magicbricks.com/vasant-vihar-builder-floor-vasant-vihar-new-delhi-pdpid-4d4235303039383237,Vasant Vihar Builder Floor,"FURNISHING
Unfurnished","BATHROOM
4","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
2250 sqft","FLOOR
2 out of 4","FACING
North - West","OVERLOOKING
Garden/Park, Pool, Main Road","SOCIETY
Vasant Vihar Builder Floor","OWNERSHIP
Freehold","BATHROOM
4","Park facing, For Rent in Vasant Vihar, Ultra Luxury Renovated, 400 Square yards, 2nd floor, 4Bhk, attached Bathroom, Drawing and Dining, Modular Kitchen, Italian flooring, Lift, servant quarter also, Parking 2 cars, outside ample parking, Peaceful location, We have many more options available in Vasant Vihar, Anand Niketan, Westend Colony, Shanti Niketan, And South Delhi Posh localities, The monthly maintenance is Rs 12000/-.","₹
2.8 Lac",Security Deposit,Contact Agent ,Get Phone No. 
"2 BHK Apartment for Rent in Associated Apartments, Patparganj New Delhi",https://img.staticmb.com/mbphoto/property/cropped_images/2024/Nov/09/Photo_h300_w450/75842743_8_PropertyImage34-92775968108353_300_450.jpg,"8
+
Photos","Posted:   Nov 22, '24 ",Agent: Shree Balaji Properties,Operating Since: 2010,,https://www.magicbricks.com/associated-apartments-patparganj-new-delhi-pdpid-4d4235303336333134,Associated Apartments,"FURNISHING
Unfurnished","BATHROOM
2","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
1170 sqft","FLOOR
Ground out of 3","FACING
North - East","OVERLOOKING
Garden/Park","SOCIETY
Associated Apartments","BATHROOM
2","BALCONY
1",this is good flat flooring change modular kichan The monthly maintenance is Rs 2350/-.,"₹
31,000",Security Deposit,Contact Agent ,Get Phone No. 
2 BHK Builder Floor for Rent in GK Enclave 1 New Delhi,https://img.staticmb.com/mbphoto/property/cropped_images/2024/Nov/22/Photo_h300_w450/76118925_1_PropertyImage423-2694068723731_300_450.jpg,"11
+
Photos","Posted:   Nov 22, '24 ",Agent: Rishabh Estates,Operating Since: 2005,100+ Buyers Served,,,"FURNISHING
Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
1300 sqft","FLOOR
1 out of 4","FACING
North","OVERLOOKING
Main Road","OWNERSHIP
Freehold","BATHROOM
2","BALCONY
2",This is a top of the line fully furnished floor with lift and stilt parking. It is in a peaceful and gated Colony of GK Enclave 1. Major markets and commercial hubs are close to it. Metro station is also at walking distance. The monthly maintenance is Rs 3000/-.,"₹
1.2 Lac",Security Deposit,Contact Agent ,Get Phone No. 
"3 BHK Builder Floor for Rent in RWA GK 2, Greater Kailash 2 New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","11
+
Photos","Posted:   Jan 06, '25 ",Agent: Sumit  Kumra,,,https://www.magicbricks.com/rwa-gk-2-greater-kailash-2-new-delhi-pdpid-4d4235323037373435,RWA GK 2,"FURNISHING
Semi-Furnished","BATHROOM
3","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
1750 sqft","FLOOR
2 out of 4","FACING
North","OVERLOOKING
Garden/Park","SOCIETY
RWA GK 2","BATHROOM
3","BALCONY
2","Greater Kailash part 2, First floor with lift, stilt parking, 3bhk","₹
1.2 Lac",See other charges,Contact Agent ,Get Phone No. 
2 BHK Builder Floor for Rent in Sector 24 Rohini New Delhi,,,"Posted:   Jan 09, '25 ",Agent: Sharma Estate,Operating Since: 2002,1000+ Buyers Served,,,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
700 sqft","FLOOR
Ground out of 4","FACING
East","OVERLOOKING
Garden/Park","BATHROOM
2","BALCONY
1",,two bedroom and two washroom well maintained floor for rent,"₹
14,000",See other charges,Contact Agent ,Get Phone No. 
