price;price_per_sqft;photos_count;furnishing;bedroom;bathroom;tenant_preferred;availability;carpet_tot;super_tot;area;floor;num_floor;facing;overlooking;ownership;balcony;nb_caract_descript;contact;operating_since;buyers_served;titre;description
200000;91;16;Semi-Furnished;3;4;Bachelors;Immediately;2200;;2200;Ground out of 5;0;West;Garden/Park;;3;76;Agent ;2004;2000;3 BHK Builder Floor for Rent in Defence Colony, New Delhi;corner propert, separate gate parking The monthly maintenance is Rs 10000/-.
55000;31;15;Semi-Furnished;3;3;Bachelors;Immediately;1800;;1800;2 out of 4;2;North - East;Main Road;Freehold;2;49;Agent ;2012;2000;3 BHK Builder Floor for Rent in Sector 8 Dwarka, New Delhi;Park facing The monthly maintenance is Rs 1000/-.
100000;48;13;Unfurnished;4;4;Bachelors/Family;Immediately;2100;;2100;2 out of 4;2;North;;;2;316;Agent ;;;4 BHK Builder Floor for Rent in Greater Kailash 1, New Delhi;An excellent 4BHK Flat is available for rent in Greater Kailash I. having 4 specious bedroom with attached 4 bathroom, modular kitchen, drawing dining room, servant quarter, etc. All the room are well ventilated and blessed with natural light. for more details contact Fixitezy. The monthly maintenance is Rs 5000/-.
50000;50;26;Unfurnished;2;2;Bachelors;Immediately;1000;;1000;2 out of 4;2;East;Garden/Park, Main Road;Freehold;1;225;Agent ;2010;13000;2 BHK Builder Floor for Rent in Green Park, New Delhi;2 BHK fully furnished Flat available for Rent in Green Park with attached Bathroom and separated kitchen onna good and gated society 5 minutes walking metro daily needs easily provides.... The monthly maintenance is Rs 500/-.
110000;48;19;Semi-Furnished;3;4;Bachelors;Immediately;2300;;2300;2 out of 4;2;East;Garden/Park;;3;198;Agent ;2001;3500;3 BHK Builder Floor for Rent in Saket, New Delhi;its a three bedroom three bathroom Large drawing dining modular kitchen all room has acs second floor with lift park facing gate it community one reserve car parking in still area plot size 300 yard
9000;35;5;Unfurnished;;1;Bachelors/Family;Immediately;260;;260;3 out of 5;3;North - West;Main Road;;1;246;Agent ;2000;9000; Studio Apartment for Rent in Munirka New Delhi;For Rent 1Room Set in RWA Munirka in  3rd Floor Available, 1Bed Room and 1 Bathroom with 1 Kitchen Near by Main Road Walking Distance Available in Good Location.Contact              Munirka properies pvt. ltd. The monthly maintenance is Rs 200/-.
50000;21;14;Semi-Furnished;3;3;Bachelors/Family;Immediately;2350;;2350;2 out of 5;2;North - East;Garden/Park, Main Road;;1;147;Agent ;;;3 BHK Builder Floor for Rent in Preet Vihar, New Delhi;3 BHK sawasthya vihar awsome flat gas piped available modular kitchen with chemny -preet vihar swasthya vihar The monthly maintenance is Rs 3000/-.
120000;67;8;Semi-Furnished;3;3;Bachelors/Family;Immediately;;1800;1800;2 out of 4;2;North - East;;;3;228;Agent ;;;3 BHK Builder Floor for Rent in Safdarjung Enclave, New Delhi;Independent Builder floor in Safdarjung Enclave 200 sq. yards second floor 3 bedrooms attached 3 bathrooms drawing dining modular kitchen lift servant quarter stilt car parking ready to move The monthly maintenance is Rs 3000/-.
18500;62;21;Unfurnished;;1;Bachelors/Family;Immediately;300;;300;4 out of 4;4;North - West;Garden/Park, Main Road, Pool;Freehold;;80;Agent ;2003;3500; Studio Apartment for Rent in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road New Delhi;Sarita vihar 1 rk for rent in sarita vihar. The monthly maintenance is Rs 500/-.
95000;59;14;Semi-Furnished;3;3;Bachelors/Family;Immediately;1600;;1600;1 out of 4;1;North - East;Garden/Park;;3;342;Agent ;2008;2500;3 BHK Builder Floor for Rent in Safdarjung Enclave, New Delhi;Rare to found ,full of grenary proper sunlight, proper cross section of air ventilation , very good connectivity of all basic needs ,very nice and decent owner ,owner stays away , very nice fitting and fixtures ,elite class colony in south delhi   nature showers his blessing of natural sunlight and air. The monthly maintenance is Rs 5000/-.
110000;61;;Semi-Furnished;3;3;Bachelors/Family;Immediately;;1800;1800;2 out of 4;2;East;;;3;561;Agent ;2012;2500;3 BHK Builder Floor for Rent in Green Park, New Delhi;Semi furnished builder floor at second Floor with lift consisting of 1 drawing, dining room, 3 spacious bedrooms with attached luxurious bathrooms with modern fittings, family lounge, air conditioner in all bedrooms and drawing room, imported modular kitchen with hob, chimney, microwave and oven, Italian marble flooring, big front and back balcony, stilt car parking, excellent and peaceful location, greenery all around, very good cross ventilation, vaastu compliant, high end specifications, secured and gated locality. The monthly maintenance is Rs 5000/-.
23800;20;14;Semi-Furnished;3;3;Bachelors/Family;Immediately;1200;;1200;2 out of 5;2;North;Garden/Park;;1;59;Agent ;;;3 BHK Builder Floor for Rent in Chattarpur, New Delhi;its a 3BHK flat available for rent in chhatarpur new delhi.
90000;50;11;Semi-Furnished;3;3;Bachelors;Immediately;1800;;1800;Ground out of 4;0;South -West;Garden/Park, Main Road, Pool;;2;133;Agent ;2001;1500;3 BHK Builder Floor for Rent in Greater Kailash 1, New Delhi;3 BHK, Builder Floor Apartment is available for Rent in Greater Kailash 1, New Delhi for 90,000 The monthly maintenance is Rs 4000/-.
95000;58;15;Unfurnished;3;3;Bachelors/Family;Immediately;1650;;1650;3 out of 4;3;North - East;Garden/Park, Main Road;;3;415;Agent ;2000;10500;3 BHK Builder Floor for Rent in Greater Kailash 1, New Delhi;A magnificent 3 BHK builder floor is available for rent in Greater kailash 1. It has 3 spacious bedroom with attached bathroom, kitchen, drawing dining room, etc.. Ample parking, all the room are well ventilated and blessed with natural light .Near metro connectivity , greater kailash m block market . Please contact for more details , We have many more options in south Delhi The monthly maintenance is Rs 2000/-.
140000;62;12;Semi-Furnished;3;3;Bachelors/Family;Immediately;2250;;2250;3 out of 3;3;North - East;Garden/Park;;;289;Agent ;1972;3000;3 BHK Builder Floor for Rent in RWA Pamposh Enclave, Pamposh Enclave, Greater Kailash, New Delhi;Gulshan estate agents pvt. Ltd. Offer you a new property. This property is available for rent in pamposh d block, third floor 3 bedrooms with attached washrooms, 250 square yards, new construction with lift and stilt. Excellent location with wide road The monthly maintenance is Rs 5000/-.
27000;108;6;Furnished;;1;Bachelors/Family;Immediately;250;;250;Ground out of 11;0;North - East;Garden/Park, Main Road, Pool;;1;247;Agent ;1950;; Studio Apartment for Rent in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar New Delhi;It is a 1 room, kitchen and bathroom apartment available for rent in DLF Capital Greens, it is an apartment located inside the complex and comes with a covered car parking.. for more information please contact The monthly maintenance is Rs 1000/-.
230000;105;12;Unfurnished;3;4;Bachelors;Immediately;2200;;2200;2 out of 4;2;East;Garden/Park;Freehold;;259;Agent ;1994;1500;3 BHK Builder Floor for Rent in Defence colony Villas, Defence Colony, New Delhi;stilt parking 325 yds second floor fully furnished apartment three beds attached washrooms drawing dining lounge moduler kitchen powder room servant room security etc suits embassy foreign missions multinational companies The monthly maintenance is Rs 7500/-.
240000;100;11;Semi-Furnished;3;3;Bachelors/Family;Immediately;2400;;2400;2 out of 3;2;North - East;Garden/Park;;3;372;Agent ;;1500;3 BHK Builder Floor for Rent in RWA Gulmohar Park, Gulmohar Park, New Delhi;three bedrooms attached washrooms , drawing and dinning , semi modular kitchen , ample open space for parking , peaceful location , near to park available for rent in Gulmohar Park near club , close to green park metro on yellow line ,near Safdarjung Hospital , near Sirifort , near AIMS , for more details please feel free to contact The monthly maintenance is Rs 2000/-.
35000;47;9;Semi-Furnished;2;2;Bachelors/Family;Immediately;750;;750;1 out of 4;1;;;;1;132;Agent ;;;2 BHK Builder Floor for Rent in Sector 19 Dwarka, New Delhi;2 BHK, Builder Floor Apartment is available for Rent in Sector 19 Dwarka, New Delhi for 35,000 The monthly maintenance is Rs 1000/-.
95000;53;6;Semi-Furnished;3;3;Bachelors/Family;Immediately;1800;;1800;2 out of 4;2;East;Main Road;Freehold;3;54;Agent ;2003;;3 BHK Builder Floor for Rent in Safdarjung Enclave, New Delhi;Its new construction with all the government clearance
50000;33;11;Furnished;3;3;Bachelors;Immediately;1500;;1500;2 out of 4;2;North - East;Garden/Park, Main Road, Pool;Freehold;;109;Agent ;2003;3500;3 BHK Apartment for Rent in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road New Delhi;flat for rent in sarita vihar new delhi near sarita vihar metro station. The monthly maintenance is Rs 500/-.
95000;59;14;Semi-Furnished;3;3;Bachelors/Family;Immediately;1600;;1600;1 out of 4;1;North - East;Garden/Park;;3;342;Agent ;2008;2500;3 BHK Builder Floor for Rent in Safdarjung Enclave New Delhi;Rare to found ,full of grenary proper sunlight, proper cross section of air ventilation , very good connectivity of all basic needs ,very nice and decent owner ,owner stays away , very nice fitting and fixtures ,elite class colony in south delhi   nature showers his blessing of natural sunlight and air. The monthly maintenance is Rs 5000/-.
110000;61;;Semi-Furnished;3;3;Bachelors/Family;Immediately;;1800;1800;2 out of 4;2;East;;;3;561;Agent ;2012;2500;3 BHK Builder Floor for Rent in Green Park New Delhi;Semi furnished builder floor at second Floor with lift consisting of 1 drawing, dining room, 3 spacious bedrooms with attached luxurious bathrooms with modern fittings, family lounge, air conditioner in all bedrooms and drawing room, imported modular kitchen with hob, chimney, microwave and oven, Italian marble flooring, big front and back balcony, stilt car parking, excellent and peaceful location, greenery all around, very good cross ventilation, vaastu compliant, high end specifications, secured and gated locality. The monthly maintenance is Rs 5000/-.
55000;34;6;Semi-Furnished;3;2;Bachelors;Immediately;;1600;1600;Ground out of 4;0;North - East;Garden/Park, Main Road;;2;41;Agent ;2002;2000;3 BHK Apartment for Rent in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road New Delhi;bank The monthly maintenance is Rs 600/-.
23800;20;14;Semi-Furnished;3;3;Bachelors/Family;Immediately;1200;;1200;2 out of 5;2;North;Garden/Park;;1;59;Agent ;;;3 BHK Builder Floor for Rent in Chattarpur New Delhi;its a 3BHK flat available for rent in chhatarpur new delhi.
90000;50;11;Semi-Furnished;3;3;Bachelors;Immediately;1800;;1800;Ground out of 4;0;South -West;Garden/Park, Main Road, Pool;;2;133;Agent ;2001;1500;3 BHK Builder Floor for Rent in Greater Kailash 1 New Delhi;3 BHK, Builder Floor Apartment is available for Rent in Greater Kailash 1, New Delhi for 90,000 The monthly maintenance is Rs 4000/-.
95000;58;15;Unfurnished;3;3;Bachelors/Family;Immediately;1650;;1650;3 out of 4;3;North - East;Garden/Park, Main Road;;3;415;Agent ;2000;10500;3 BHK Builder Floor for Rent in Greater Kailash 1 New Delhi;A magnificent 3 BHK builder floor is available for rent in Greater kailash 1. It has 3 spacious bedroom with attached bathroom, kitchen, drawing dining room, etc.. Ample parking, all the room are well ventilated and blessed with natural light .Near metro connectivity , greater kailash m block market . Please contact for more details , We have many more options in south Delhi The monthly maintenance is Rs 2000/-.
140000;62;12;Semi-Furnished;3;3;Bachelors/Family;Immediately;2250;;2250;3 out of 3;3;North - East;Garden/Park;;;289;Agent ;1972;3000;3 BHK Builder Floor for Rent in RWA Pamposh Enclave, Pamposh Enclave, Greater Kailash New Delhi;Gulshan estate agents pvt. Ltd. Offer you a new property. This property is available for rent in pamposh d block, third floor 3 bedrooms with attached washrooms, 250 square yards, new construction with lift and stilt. Excellent location with wide road The monthly maintenance is Rs 5000/-.
230000;105;12;Unfurnished;3;4;Bachelors;Immediately;2200;;2200;2 out of 4;2;East;Garden/Park;Freehold;;259;Agent ;1994;1500;3 BHK Builder Floor for Rent in Defence colony Villas, Defence Colony New Delhi;stilt parking 325 yds second floor fully furnished apartment three beds attached washrooms drawing dining lounge moduler kitchen powder room servant room security etc suits embassy foreign missions multinational companies The monthly maintenance is Rs 7500/-.
240000;100;11;Semi-Furnished;3;3;Bachelors/Family;Immediately;2400;;2400;2 out of 3;2;North - East;Garden/Park;;3;372;Agent ;;1500;3 BHK Builder Floor for Rent in RWA Gulmohar Park, Gulmohar Park New Delhi;three bedrooms attached washrooms , drawing and dinning , semi modular kitchen , ample open space for parking , peaceful location , near to park available for rent in Gulmohar Park near club , close to green park metro on yellow line ,near Safdarjung Hospital , near Sirifort , near AIMS , for more details please feel free to contact The monthly maintenance is Rs 2000/-.
120000;67;13;Semi-Furnished;4;4;Bachelors;Immediately;;1800;1800;Ground out of 4;0;North - East;Garden/Park, Main Road;Freehold;;64;Agent ;2003;3000;4 BHK Apartment for Rent in DDA Flats Sector C Pocket 9, Vasant Kunj New Delhi;well located gated society The monthly maintenance is Rs 1000/-.
33000;33;11;Semi-Furnished;2;2;Bachelors/Family;Immediately;;1000;1000;1 out of 5;1;;;;1;119;Agent ;2010;;2 BHK Apartment for Rent in DDA Pink Apartments, Dwarka New Delhi;2 BHK, Multistorey Apartment is available for Rent in Dwarka, New Delhi for 33,000 The monthly maintenance is Rs 400/-.
180000;71;8;Semi-Furnished;4;4;Bachelors/Family;Immediately;2550;;2550;3 out of 4;3;North - East;Garden/Park;;2;233;Agent ;;;4 BHK Builder Floor for Rent in Panchsheel Enclave, Panchsheel Park New Delhi;This property is available in Panchsheel enclave , Delhi. this is 4bhk 4bath , 3rd floor with terrace, semi furnished , A big drawing hall , fully modular kitchen with all the appliances fitted. The monthly maintenance is Rs 10000/-.
18000;60;5;Furnished;1;1;Bachelors;Immediately;300;;300;4 out of 4;4;West;Garden/Park;;1;492;Agent ;2008;1000;1 BHK Apartment for Rent in Jangpura B, Jangpura B, Jangpura New Delhi;Independent fully furnished Studio Room with in built pantry available for rent for working professionals. Prominent location near Bhogal Bus Stop.  Jangpura and Ashram Chowk Metro stations are just 5 to 10 minutes away.  INOX Eros is located in the colony itself which also houses McD and Haldiram Rrestaurants besides lot more eateries in the area.  24x7 water and electricity, park facing with independent entry.   No brokerage involved in this property. The monthly maintenance is Rs 1/-.
40000;23;11;Semi-Furnished;3;3;Family;Immediately;;1750;1750;4 out of 10;4;East;Garden/Park;;3;588;Agent ;;;3 BHK Apartment for Rent in Baroda House Apartment, Sector 10 Dwarka New Delhi;Best  Location 3 bhk flat very prime location3 attached bathroom tile flooring modular kitchen with lift and reserve car parking neat and clean flat and society 24x7 water and electricity  security guard available in 24x7 on the gate with cctv cameras installed in every where in the apartment. Neat bus stop and bank atm and market area. The society has dedicated security guards for every tower. Full power backup is available. 5 minute walk,Commercial market for daily needs and groceries 2 minute walk,Well maintained DDA park and football ground The monthly maintenance is Rs 2500/-.
24000;33;18;Unfurnished;3;2;Family;Immediately;721;;721;1 out of 3;1;South -West;Main Road;;2;530;Agent ;2016;126500;3 BHK Builder Floor for Rent in Janak Park, Hari Nagar New Delhi;Discover your new home in this spacious 3BHK independent floor located on the first floor of a corner house at WZ 405, Gali No. 2, Janak Park, Hari Nagar. This unfurnished property offers a generous layout, perfect for families seeking comfort and convenience. Enjoy the peaceful surroundings just opposite Sanatan Dharam Mandir. With an excellent location and ample natural light, this home is an ideal choice. Available for rent at 24,000, it provides a perfect blend of accessibility and tranquillity in a vibrant neighborhood.
42000;30;36;Semi-Furnished;3;3;Family;Immediately;1400;;1400;4 out of 9;4;North - East;Garden/Park, Main Road;;2;599;Agent ;2010;9500;3 BHK Apartment for Rent in Golden Heights, Sector 12 Dwarka New Delhi;A 3BHK rent flat, located in Sec.12 Dwarka Delhi. It is a ready to move in semi furnished flat located in Golden Height  Apt.  It is a 10 to 15 year old property, which is in its prime condition. The flat is on the 3rd floor of the building. Aesthetically designed with marble flooring, this property has 3 bathrooms and 2 balconies. The flat faces the north direction . The flat is a freehold property and has a super built up area of 1800 Sq. Ft. It offers a number of important facilities like intercom facility, lift, piped gas.fire alarm and water storage. The monthly maintenance is Rs 3000/-.
500000;100;2;Semi-Furnished;4;4;Bachelors/Family;Immediately;;5000;5000;3 out of 4;3;North - East;Garden/Park, Main Road;;5;726;Agent ;2007;5000;4 BHK Builder Floor for Rent in Vasant Vihar New Delhi;Brand New builder floor apartment with 5 star construction on third floor with terrace garden on very wide road , Built on Plot Area 1,000 Sq.Yards , Built up area 4,500 Sq.ft. Having 4 spacious bedrooms with attached bath rooms , 1 Study room , 1 powder room , Separate drawing/ dining room , Master bedroom with wooden flooring , Lobby , Store , Servant quarter , Fully equipped Siemens modular kitchen with dish washer and washing machine , Italian marble flooring , Separate gate for entry and car parking on stilt , Exclusive Lift for Third Floor Only , Entire terrace garden with the third floor only usable for party. High-end specifications , This builder floor apartment is made by top reputed builder of South Delhi.
28000;22;7;Semi-Furnished;3;2;Bachelors/Family;Immediately;1250;;1250;1 out of 5;1;West;Main Road;;1;79;Agent ;2005;8500;3 BHK Builder Floor for Rent in Jona Pur New Delhi;semi furnished apartment , gated compound The monthly maintenance is Rs 1500/-.
31000;34;1;Semi-Furnished;2;2;Bachelors/Family;Immediately;900;;900;3 out of 4;3;East;Garden/Park, Main Road;;2;149;Agent ;2000;100;2 BHK Builder Floor for Rent in Kalu Sarai New Delhi;Kalu Sarai Main Road Facing Opp Sarv Priya Vihar Near Hauz Khas Metro Station Shut Office and Residential Etc.. The monthly maintenance is Rs 2500/-.
50000;25;32;Furnished;4;3;Family;Immediately;2000;;2000;6 out of 10;6;North - East;Garden/Park, Main Road;;3;231;Agent ;2000;3500;4 BHK Apartment for Rent in Om Satyam Apartments, Sector 4 Dwarka New Delhi;Its a 4bhk apartment with store and servant room. It is fully loaded apartment with all amenities like lift and car parking. The flat has bed, fridge,AC,washing machine, stove,Dining Table etc. The monthly maintenance is Rs 2500/-.
120000;57;20;Semi-Furnished;4;5;Family;Immediately;2100;;2100;25 out of 26;25;South - East;Garden/Park, Main Road, Pool;;4;633;Agent ;1998;2000;4 BHK Apartment for Rent in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar New Delhi;Its a 4 Bhk 5 Bath With Servent Room Available For Rent Semifurnished Apartment In Dlf Capital Greens Moti Nagar, Delhi West. DDA Park Swimming Pool Facing It Is Property In A Promising Locality. It Is Located On The 25th Floor. The Property Has A Super Builtup Area Of 2800. Sqft The Apartment Is 5 Year Old.100 Power Backup High Speed Lift Security Guards Available We Have Many More Option As Per Your Requirement In Dlf Capital Greens,Unity Amaryllis,Netaji Subhash Place,Pitampura,Rohini, For More Details Feel Free To Call Or Visit Parul Mittal Future Estate C001 Dlf Capital Green Moti Nagar The monthly maintenance is Rs 4/-.
40000;25;5;Semi-Furnished;3;3;Bachelors/Family;Immediately;1602;;1602;8 out of 10;8;North - West;Garden/Park, Main Road;;5;160;Agent ;2010;500;3 BHK Apartment for Rent in The Shabad Apartment, Sector 13 Dwarka New Delhi;3 bhk  3 bathroom drawing and dining room marble flooring rooms tiles flooring main road and park faceing flat sun faceing The monthly maintenance is Rs 3000/-.
90000;49;4;Semi-Furnished;3;3;Bachelors;Immediately;1850;;1850;1 out of 2;1;North - West;Garden/Park;;3;40;Agent ;2012;;3 BHK Builder Floor for Rent in Greater Kailash 2 New Delhi;400 Sq.Yd. floor on rent for residential
42000;20;11;Semi-Furnished;3;3;Bachelors;Immediately;;2100;2100;3 out of 10;3;North - East;Garden/Park, Main Road;;3;130;Agent ;2000;;3 BHK Apartment for Rent in Mass Apartments, Sector 10 Dwarka New Delhi;3 BHK, Multistorey Apartment is available for Rent in Sector 10 Dwarka, New Delhi for 42,000 The monthly maintenance is Rs 2500/-.
50000;37;10;Furnished;2;2;Bachelors;Immediately;1350;;1350;Ground out of 4;0;South - East;Garden/Park, Main Road;Freehold;;307;Agent ;2010;;2 BHK Builder Floor for Rent in RWA Kalkaji Block D, Kalkaji New Delhi;Very well maintained GROUND  floor available for RENT. Excellent location wide road. It has 2 bedrooms 2 bath drawing dinning area. FULLY furnished next to park with gated community. 1 covered car parking, lots of ample natural light. For more details please contact us. The monthly maintenance is Rs 300/-.
52000;30;13;Unfurnished;4;3;Bachelors;Immediately;1750;;1750;4 out of 4;4;North - East;Garden/Park;Freehold;;145;Agent ;;;4 BHK Apartment for Rent in Shiv Lok Apartments, Dwarka New Delhi;running school, running market, running eSports complex, ek mtr metro station sector 11, opposite bus stand The monthly maintenance is Rs 2300/-.
32000;28;11;Semi-Furnished;4;2;Bachelors/Family;Immediately;1150;;1150;1 out of 4;1;South -West;Garden/Park, Main Road;;2;156;Agent ;2001;3000;4 BHK Apartment for Rent in Ashok Vihar New Delhi;1150 sq.ft 4 bedroom flat for rent..2 washroom..well maintained dda flat..modular kitchen..parking inside the society. The monthly maintenance is Rs 2000/-.
50000;31;17;Semi-Furnished;3;3;Bachelors/Family;Immediately;1600;;1600;6 out of 10;6;;Garden/Park, Main Road;;3;414;Agent ;;1500;3 BHK Apartment for Rent in New Rashtriya CGHS, Sector 18 Dwarka New Delhi;This is one of the premium apartments available for sale in dwarka with all modern amenities. Located at a very prime location  well connected to NH8 and IGI Airport. Well Maintained society and local market, metro Station, School, Park, Bank, ATM etc located very near by this property. One of the best option for investment or Self use Purpose. Please call for more details. The monthly maintenance is Rs 3500/-.
100000;59;8;Semi-Furnished;3;3;Bachelors;Immediately;1700;;1700;2 out of 4;2;North;Garden/Park;;3;164;Agent ;1992;;3 BHK Builder Floor for Rent in New Friends Colony New Delhi;3 bedroom 3 attached washroom drawing dining modular kitchen italian flooring air conditioner lift with 1 car parking in stilt The monthly maintenance is Rs 5000/-.
50000;27;25;Semi-Furnished;4;3;Bachelors;Immediately;;1850;1850;3 out of 7;3;North - East;Garden/Park;;4;55;Agent ;2005;100;4 BHK Apartment for Rent in Guru Apartment, Sector 6 Dwarka New Delhi;very good socaity The monthly maintenance is Rs 3000/-.
35000;22;11;Unfurnished;3;3;Bachelors/Family;Immediately;1600;;1600;6 out of 10;6;North - East;Garden/Park, Main Road;;4;518;Agent ;;;3 BHK Apartment for Rent in DJA Apartments, Sector 13 Dwarka New Delhi;Exclusively 3 bed room furnished flat with modular kitchen,and complete wooden work in all the rooms, clean toilets and bathroom. Spacious and airy rooms for comfortable living with direct sunlight entering the room in the morning and remains in the flat throughout day. The society has dedicated staff of plumber and electrician and responsible security guards.It has good arrangement for 24 hours of water and power back up.The society located near market, school and  hospitals The monthly maintenance is Rs 4000/-.
52000;32;40;Semi-Furnished;3;3;Bachelors/Family;Immediately;;1650;1650;25 out of 30;25;North - East;Garden/Park, Main Road, Pool;;4;195;Agent ;2005;500;3 BHK Apartment for Rent in DLF Capital Greens 1 and 2, Karam Pura New Delhi;It is East Facing, Sun Facing, Pool Facing, Park facing property. 4 Air Conditioners, Fridge, Microwave, Oven, Dish washer etc are available in the premises. The monthly maintenance is Rs 7000/-.
75000;42;18;Semi-Furnished;4;3;Bachelors/Family;Immediately;;1800;1800;2 out of 4;2;North;Garden/Park, Main Road;;3;96;Agent ;;1000;4 BHK Apartment for Rent in DDA Pocket 1, Sector C Vasant Kunj New Delhi;4 BHK, Multistorey Apartment is available for Rent in Sector C Vasant Kunj, New Delhi for 75,000
85000;57;16;Semi-Furnished;3;2;Bachelors/Family;Immediately;;1503;1503;6 out of 11;6;;;;4;86;Owner ;;;3 BHK Apartment for Rent in Unity the Amaryllis, Karol Bagh New Delhi;3 BHK, Multistorey Apartment is available for Rent in Karol Bagh, New Delhi for 85,000
490000;145;;Furnished;3;3;Bachelors/Family;Immediately;3375;;3375;Ground out of 4;0;;;;2;150;Owner ;;;3 BHK Builder Floor for Rent in Chanakyapuri New Delhi;Builder floor apartment is available for rent. It is a good location property. Please contact for more details. The monthly maintenance is Rs 15000/-.
